# latitude_deg: 39.872000,  annual_dni_kWh_per_m2: 2070.689000
# heliostats: 223, mirror_area_each: 16.483600, mirror_area_total: 3675.842800
# azimuth_deg, elevation_deg, weight, efficiency
121.162764, 0, -18795.118202, 0.11599748805818136
132.975599, 10.535117, 36745.273524, 0.39472146226653854
146.726259, 19.058857, 10755.210569, 0.44169296512071143
162.613496, 24.723944, 53878.251605, 0.4690975940811831
180, 26.728, 23415.64342, 0.48082146529225683
197.386504, 24.723944, 62054.81996, 0.4718739197808488
213.273741, 19.058857, 6784.395978, 0.4466592035744324
227.024401, 10.535117, 77872.892584, 0.3928229019133716
238.837236, 0, -13001.323971, 0.12347526993264825
90, 0, 12151.551432, 0.08729275253487628
101.766337, 13.719212, 49932.944247, 0.32609016455195156
114.974597, 26.815087, 87483.863934, 0.40314585320459445
131.424008, 38.382119, 117775.813884, 0.4399417260255512
153.122468, 46.879307, 132927.548417, 0.4724209842499316
180, 50.128, 128362.904083, 0.4801245861014111
206.877532, 46.879307, 131092.970514, 0.4741446998839554
228.575992, 38.382119, 122174.366771, 0.4438777395256158
245.025403, 26.815087, 95761.931108, 0.400086730321774
258.233663, 13.719212, 94281.507523, 0.3334958934090627
270, 0, 35488.584461, 0.08007902243663419
58.837236, 0, 317.420146, 0.07018657665274258
70.087424, 12.822442, 18703.475082, 0.2453861607124917
80.742577, 26.567318, 72109.965921, 0.32555633181172927
92.090254, 40.737099, 82926.154467, 0.37563678447026594
106.579711, 54.751466, 91021.743671, 0.4175868481056499
130.941519, 67.284849, 88995.538881, 0.44859653700776725
180, 73.528, 90643.068391, 0.45968399735241683
229.058481, 67.284849, 90870.321759, 0.4486633686918173
253.420289, 54.751466, 84626.938303, 0.4223455591352967
267.909746, 40.737099, 80392.831533, 0.3745445556135899
279.257423, 26.567318, 67513.920119, 0.32464700294334853
289.912576, 12.822442, 55308.239281, 0.24872432746311027
301.162764, 0, 2251.296581, 0.07129171679775836
